"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Update course","LMS service","Wed Aug 20 17:30:56 GMT 2025","passed","Wed Aug 20 17:30:56 GMT 2025","Update entity","Courses","",""
"","555","Create user","LMS service","Wed Aug 20 17:31:02 GMT 2025","passed","Wed Aug 20 17:31:03 GMT 2025","Create entity","Users","",""
"","14","Get file","LMS service","Wed Aug 20 17:31:01 GMT 2025","passed","Wed Aug 20 17:31:01 GMT 2025","Get entity","Files","",""
"","19","Delete exercise","LMS service","Wed Aug 20 17:30:59 GMT 2025","passed","Wed Aug 20 17:30:59 GMT 2025","Delete entity","Exercises","",""
"","560","Create user","LMS service","Wed Aug 20 17:31:03 GMT 2025","passed","Wed Aug 20 17:31:04 GMT 2025","Create entity","Users","",""
"","23","Get exercise","LMS service","Wed Aug 20 17:30:58 GMT 2025","passed","Wed Aug 20 17:30:58 GMT 2025","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Wed Aug 20 17:30:54 GMT 2025","passed","Wed Aug 20 17:30:55 GMT 2025","Login","Authentication","",""
"","261","Create file with empty filename","LMS service","Wed Aug 20 17:31:01 GMT 2025","passed","Wed Aug 20 17:31:01 GMT 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Wed Aug 20 17:31:02 GMT 2025","passed","Wed Aug 20 17:31:02 GMT 2025","Delete entity","Files","",""
"","27","Create course","LMS service","Wed Aug 20 17:30:56 GMT 2025","passed","Wed Aug 20 17:30:56 GMT 2025","Create entity","Courses","",""
"","264","Create file","LMS service","Wed Aug 20 17:31:00 GMT 2025","passed","Wed Aug 20 17:31:00 GMT 2025","Create entity","Files","",""
"","260","Get file with incorrect file id","LMS service","Wed Aug 20 17:31:03 GMT 2025","passed","Wed Aug 20 17:31:03 GMT 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Wed Aug 20 17:30:57 GMT 2025","passed","Wed Aug 20 17:30:57 GMT 2025","Create entity","Exercises","",""
"","262","Create file with empty directory","LMS service","Wed Aug 20 17:31:02 GMT 2025","passed","Wed Aug 20 17:31:02 GMT 2025","Validate entity","Files","",""
"","291","Update exercise","LMS service","Wed Aug 20 17:30:59 GMT 2025","passed","Wed Aug 20 17:30:59 GMT 2025","Update entity","Exercises","",""
"","284","Get exercises","LMS service","Wed Aug 20 17:30:58 GMT 2025","passed","Wed Aug 20 17:30:58 GMT 2025","Get entities","Exercises","",""
"","11","Get user me","LMS service","Wed Aug 20 17:31:04 GMT 2025","passed","Wed Aug 20 17:31:04 GMT 2025","Get entity","Users","",""
"","560","Create user","LMS service","Wed Aug 20 17:31:03 GMT 2025","passed","Wed Aug 20 17:31:04 GMT 2025","Create entity","Users","",""
"","33","Get courses","LMS service","Wed Aug 20 17:30:55 GMT 2025","passed","Wed Aug 20 17:30:55 GMT 2025","Get entities","Courses","",""
